Card Name,Rarity,Number,Price,Market Price,Listing Count,Mention Count
Bujinki Ahashima,Ultra Rare,#DUOV-EN018,$3.33,$4.08,117,0
Scrap Chimera,Premium Gold Rare,#MGED-EN010,$0.63,$0.95,124,2
Red-Eyes Darkness Metal Dragon,Secret Rare,#LCJW-EN050,$9.99,$18.58,38,5
Dark Armed Dragon,Secret Rare,#PTDN-EN019,$64.79,$92.85,48,8
Super Polymerization (Secret Rare),Secret Rare,#SGX3-ENA17,$9.42,$11.04,42,0
Infernoble Knight Emperor Charles,Ultra Rare,#ROTD-EN042,$3.50,$5.20,65,0
Ukiyoe-P.U.N.K. Amazing Dragon,Secret Rare,#BLMR-EN075,$0.15,$0.21,159,2
Chaos Emperor Dragon - Envoy of the End,Secret Rare,#IOC-000,$17.81,$22.01,105,0
Iron Chain Dragon,Rare,#CSOC-EN040,$2.50,$4.44,61,0
Evil Twins Ki-sikil & Lil-la,Ultra Rare,#GEIM-EN017,$4.75,$5.70,66,0
Dekoichi the Battlechanted Locomotive (UTR),Ultimate Rare,#RDS-EN032,$9.94,$41.94,115,0
Traptrix Myrmeleo,Super Rare,#AP06-EN004,$8.50,$13.98,67,6
Traptrix Myrmeleo,Gold Rare,#PGL2-EN037,$2.39,$8.68,92,6
Solemn Strike (CR),Collector's Rare,#GRCR-EN059,$25.40,$32.82,58,0
Libromancer Geek Boy,Secret Rare,#BACH-EN000,$1.50,$3.37,117,0
Dark Sage,Prismatic Secret Rare,#DOD-002,$6.99,$30.52,46,2
Evolzar Laggia (UTR),Ultimate Rare,#PHSW-EN043,$24.95,$26.86,47,0
The Iris Swordsoul,Secret Rare,#DAMA-EN009,$2.28,$4.61,89,2
Fossil Dyna Pachycephalo,Secret Rare,#LODT-EN099,$29.97,$41.37,24,0
Solemn Judgment,Secret Rare,#LCJW-EN182,$7.24,$11.33,74,72
Animadorned Archosaur,Secret Rare,#ETCO-EN037,$9.99,$16.74,48,4
Super-Nimble Mega Hamster,Secret Rare,#LC5D-EN226,$8.02,$10.46,19,0
Mystic Swordsman LV2 (UTR),Ultimate Rare,#SOD-EN011,$12.97,$49.95,78,0
Dimensional Alchemist,Gold Rare,#GLD3-EN015,$5.00,$9.77,23,0
Tenyi Spirit - Vishuda,Ultra Rare,#GFP2-EN087,$0.80,$1.92,122,0
Trade-In,Secret Rare,#LCKC-EN076,$2.60,$6.60,101,0
Black Luster Soldier - Soldier of Chaos,Secret Rare,#BLHR-EN046,$17.96,$26.39,50,0
Libromancer Fire,Secret Rare,#DIFO-EN000,$2.28,$3.18,118,0
Xtra HERO Wonder Driver,Ultra Rare,#LEHD-ENA37,$2.27,$3.89,121,2
"Jizukiru, the Star Destroying Kaiju",Super Rare,#OP10-EN007,$3.49,$4.22,66,3
Crystal Clear Wing Synchro Dragon,Ultra Rare,#LED8-EN005,$3.75,$4.30,73,0
Scareclaw Light-Heart,Ultra Rare,#POTE-EN050,$1.00,$1.51,174,0
Red Dragon Archfiend,Secret Rare,#CT05-EN002,$4.00,$15.95,33,25
Marincess Sea Horse (Starlight Rare),Starlight Rare,#RIRA-EN003,$274.75,$223.14,15,0
Sky Striker Mecha - Widow Anchor,Secret Rare,#DASA-EN034,$6.25,$8.58,89,0
Solemn Judgment,Secret Rare,#LCYW-EN152,$6.95,$14.39,93,72
Dark Magician (B),Ultra Rare,#YGLD-ENB02,$3.10,$4.20,144,0
Blackfeather Darkrage Dragon,Gold Secret Rare,#PGLD-EN017,$4.49,$3.20,11,0
Mecha Phantom Beast Dracossack,Secret Rare,#MP14-EN030,$5.60,$12.00,73,0
Sabersaurus,Secret Rare,#LCJW-EN143,$5.50,$7.27,41,0
Chaos Archfiend,Ultra Rare,#PHHY-EN039,$0.59,$2.72,127,0
Legendary Magician of Dark,Prismatic Secret Rare,#WSUP-EN052,$19.21,$26.04,41,0
Eradicator Epidemic Virus,Rare,#WISU-EN059,$0.06,$0.19,134,24
Book of Moon,Premium Gold Rare,#MGED-EN039,$0.39,$0.75,130,78
Return of the Dragon Lords,Super Rare,#SR02-EN025,$5.00,$5.57,66,0
Tragoedia,Ultimate Rare,#TU04-EN000,$99.82,$146.60,17,0
Slifer the Sky Dragon (Secret Pharaoh's Rare),Secret Pharaoh’s Rare,#KICO-EN063,$150.00,$219.67,33,0
Dark Cavalry,Ultra Rare,#DUPO-EN002,$6.75,$6.10,57,0
Kinetic Soldier,Secret Rare,#WC4-002,$1.28,$6.01,64,0
Book of Moon,Ultra Rare,#TU07-EN001,$14.49,$21.93,19,78
Light and Darkness Dragon,Ultra Rare,#LDPP-EN001,$1.15,$6.96,40,0
Foolish Burial Goods,Secret Rare,#MP17-EN218,$2.50,$6.00,64,12
Dark Magician Girl,Secret Rare,#LCYW-EN022,$40.00,$73.00,75,70
Blue-Eyes White Dragon (JUMP-EN068),Ultra Rare,#JUMP-EN068,$48.94,$72.94,37,0
Summon Limit,Rare,#MGED-EN150,$0.85,$1.62,95,6
Monk of the Tenyi,Super Rare,#OP18-EN012,$1.25,$2.04,71,0
Elemental HERO Stratos,Premium Gold Rare,#MAGO-EN004,$3.30,$4.16,72,7
Elemental HERO Stratos,Ultra Rare,#BLHR-EN061,$2.00,$4.45,60,7
Number 101: Silent Honor ARK,Ghost Rare,#LED9-EN000,$17.40,$18.95,57,2
Call Of The Haunted,Ultra Rare,#PSV-012,$1.59,$8.36,147,2
That Grass Looks Greener,Secret Rare,#RATE-EN066,$10.73,$14.01,87,0
Dimensional Fissure,Common / Short Print,#SDDE-EN028,$0.99,$8.35,217,8
Yubel,Secret Rare,#LCGX-EN197,$13.00,$17.35,54,27
Blue-Eyes White Dragon,Secret Rare,#FL1-EN001,$0.98,$15.49,95,42
Swordsoul Supreme Sovereign - Chengying,Ultra Rare,#BODE-EN042,$1.48,$3.55,72,0
Cyber Emergency,Secret Rare,#BLRR-EN016,$5.99,$10.56,59,3
Ghoti of the Deep Beyond,Secret Rare,#POTE-EN000,$3.00,$2.94,89,0
Dark World Dealings (UTR),Ultimate Rare,#STON-EN038,$48.98,$143.98,49,0
Snatch Steal,Ultra Rare,#MRL-036,$2.62,$13.49,155,0
Forbidden Droplet,Secret Rare,#ROTD-EN065,$17.50,$28.77,71,12
Red-Eyes Zombie Dragon Lord,Ultra Rare,#DIFO-EN039,$1.69,$3.06,115,0
Ukiyoe-P.U.N.K. Sharakusai,Ultra Rare,#BLMR-EN061,$0.08,$0.22,161,1
Jet Synchron,Super Rare,#SDSE-EN001,$2.25,$4.49,62,2
Ash Blossom & Joyous Spring,Ultra Rare,#LCKC-EN080,$7.87,$8.45,73,99
Right Arm of the Forbidden One,Ultra Rare,#LOB-122,$3.69,$15.39,92,0
Dark Dust Spirit,Parallel Rare,#HL07-EN003,$2.70,$13.05,25,0
Gorz the Emissary of Darkness,,,$14.99,$22.66,46,0
Foolish Burial,Secret Rare,#LCJW-EN070,$6.83,$15.94,68,66
Blade Knight,Secret Rare,#CT1-EN002,$2.00,$9.35,84,2
Herald of Pure Light,Secret Rare,#BLMR-EN078,$0.20,$0.25,131,2
Mekk-Knight Crusadia Avramax,Super Rare,#MAZE-EN054,$0.38,$0.84,194,0
Superheavy Samurai Soulpeacemaker,Rare,#INOV-EN009,$2.98,$4.76,118,0
Lava Golem,Rare,#LCJW-EN117,$2.15,$3.89,92,8
Dimensional Prison,Super Rare,#WC08-EN003,$6.90,$32.91,40,0
Gravekeeper's Inscription,Secret Rare,#PHHY-EN000,$1.95,$3.29,178,0
Upstart Goblin,Ultra Rare,#LCYW-EN265,$3.00,$6.88,75,0
"Arionpos, Serpent of the Ghoti",Ultra Rare,#DABL-EN088,$1.20,$1.99,47,0
Floowandereeze & Snowl (Starlight Rare),Starlight Rare,#BODE-EN012,$57.98,$85.16,35,0
Fortune Lady Every,Secret Rare,#RIRA-EN038,$7.32,$12.50,26,0
Solemn Judgment,Super Rare,#SESL-EN045,$2.39,$2.93,118,72
Cynet Mining,Super Rare,#MP20-EN072,$2.38,$2.95,60,4
Necrovalley,Ultra Rare,#DUSA-EN050,$5.25,$8.49,52,14
"Ehren, Lightsworn Monk",Secret Rare,#LODT-EN082,$32.87,$35.34,33,0
Change of Heart,Ultra Rare,#MAMA-EN078,$1.00,$1.73,146,10
Junk Synchron,Ultra Rare,#DPCT-ENY01,$2.72,$10.58,62,0
Royal Oppression,Gold Rare,#GLD4-EN047,$11.68,$14.10,28,0
King of the Swamp,Super Rare,#FUEN-EN040,$3.49,$4.86,95,12
Noh-P.U.N.K. Ogre Dance (CR),Collector's Rare,#GRCR-EN006,$27.99,$35.23,42,0
"Celestia, Lightsworn Angel (UTR)",Ultimate Rare,#LODT-EN024,$9.00,$28.16,48,0
Slifer the Sky Dragon (Secret Rare),Secret Rare,#GBI-001,$35.00,$210.95,50,0
Stardust Dragon,Rare,#TOCH-EN050,$0.47,$0.60,122,30
Mysterion the Dragon Crown,Secret Rare,#BLMR-EN071,$0.13,$0.23,148,1
"Incredible Ecclesia, the Virtuous",Secret Rare,#BODE-EN007,$3.50,$6.17,117,0
Kuraz the Light Monarch,Ultimate Rare,#OP02-EN002,$34.94,$46.60,29,0
Official Judge Field Center Token: Dark Magician Girl the Dragon Knight,Ultimate Rare,#OP02-EN002,$208.16,$208.98,7,0
Gaia the Dragon Champion,Secret Rare,#LOB-EN125,$11.00,$6.53,7,3
Invocation,Ultimate Rare,#OP06-EN003,$79.65,$83.32,23,0
Exodia the Forbidden One,Ultra Rare,#LART-EN004,$18.98,$24.50,30,0
Scapegoat (CR),Collector's Rare,#TAMA-EN043,$17.95,$18.06,40,0
ABC-Dragon Buster,Secret Rare,#LCKC-EN059,$1.49,$5.32,76,0
The Winged Dragon of Ra (Ultra Rare),Ultra Rare,#GBI-003,$2.66,$37.70,78,0
Red-Eyes Wyvern,Super Rare,#ANPR-ENSE2,$2.44,$8.61,70,0
Aluber the Jester of Despia,Secret Rare,#DAMA-EN006,$3.89,$4.59,90,12
Red-Eyes Darkness Metal Dragon,Ultra Rare,#JUMP-EN030,$22.99,$59.01,34,5
Foolish Burial,Ultra Rare,#LART-EN016,$14.00,$15.88,60,66
Scapegoat,Ultimate Rare,#OP08-EN003,$40.00,$51.61,34,3
Galaxy-Eyes Photon Dragon (UTR),Ultimate Rare,#PHSW-EN011,$19.99,$37.48,48,0
Magic Cylinder,Secret Rare,#LON-104,$2.25,$14.20,165,0
Majestic Star Dragon (Ghost Rare),Ghost Rare,#SOVR-EN040,$36.49,$58.77,66,0
Astrograph Sorcerer (CR),Collector's Rare,#TAMA-EN040,$28.49,$37.39,44,0
Ukiyoe-P.U.N.K. Amazing Dragon,Ultra Rare,#GRCR-EN008,$0.85,$4.11,115,2
Ancient Gear Fortress,Common / Short Print,#SR03-EN022,$7.49,$13.25,28,0
Toon Dark Magician,Super Rare,#TDIL-EN032,$2.99,$7.07,84,3
Red-Eyes Insight,Rare,#INOV-EN060,$2.98,$4.40,126,0
Knightmare Unicorn (Alternate Art),Premium Gold Rare,#MGED-EN034,$2.97,$3.19,94,0
Left Arm of the Forbidden One (Starlight Rare),Starlight Rare,#BLCR-EN105,$131.00,$203.96,41,0
Armed Dragon Thunder LV10 (Starlight Rare),Starlight Rare,#BLVO-EN001,$49.95,$67.97,30,0
Monster Reborn,Prismatic Secret Rare,#TN19-EN011,$1.28,$2.08,141,72
Adamancipator Risen - Dragite,Ultra Rare,#MP21-EN232,$0.89,$0.95,72,6
Dragon Ravine,Secret Rare,#LCKC-EN072,$3.99,$6.55,98,3
Destiny Hero - Dreadmaster (UTR),Ultimate Rare,#EOJ-EN004,$113.49,$405.87,11,0
"Ogdoabyss, the Ogdoadic Overlord",Ultra Rare,#ANGU-EN009,$0.99,$3.35,67,0
"Ignis Phoenix, the Dracoslayer",Secret Rare,#DABL-EN022,$1.74,$2.47,127,0
"Bi'an, Earth of the Yang Zing",Super Rare,#DUEA-EN029,$3.75,$4.60,47,0
Dictator of D.,Super Rare,#BACH-EN005,$0.80,$1.28,142,0
The Winged Dragon of Ra (Secret Rare),Secret Rare,#GBI-003,$30.00,$201.83,49,0
Brain Control (UTR),Ultimate Rare,#TLM-EN038,$99.99,$134.47,11,0
FaSolfachord Fancia,Ultra Rare,#ANGU-EN017,$7.50,$8.58,44,0
The Winged Dragon of Ra,Ultra Rare,#LDK2-ENS03,$3.00,$5.23,61,14
Harpie Channeler,Ultra Rare,#LART-EN022,$10.00,$10.32,23,0
"Ignister Prominence, the Blasting Dracoslayer (UTR)",Ultimate Rare,#CORE-EN050,$19.50,$33.52,108,0
Dragonmaid Welcome,Secret Rare,#MYFI-EN024,$6.22,$6.28,44,0
Wall of Disruption,Ultra Rare,#STP5-EN005,$34.99,$44.63,8,2
Left Arm of the Forbidden One,Ultra Rare,#LOB-123,$3.00,$14.86,82,0
Negate Attack,Duel Terminal Normal Parallel Rare,#DTP1-EN020,$500.00,$400.00,2,0
Amazoness Chain Master,Secret Rare,#RP01-EN097,$174.99,$399.99,2,0
Horus the Black Flame Dragon LV8 (UTR),Ultimate Rare,#SOD-EN008,$33.99,$199.99,40,0
Breaker the Magical Warrior,Super Rare,#TP7-EN005,$239.95,$399.97,31,0
Kuriboh,Duel Terminal Normal Parallel Rare,#DTP1-EN007,$990.00,$399.95,1,24
Black Luster Soldier - Legendary Swordsman (CR),Collector's Rare,#MAZE-EN011,$32.69,$44.38,72,0
Evolzar Dolkka,Premium Gold Rare,#MGED-EN029,$0.40,$0.71,168,4
Thunder King Rai-Oh,Gold Rare,#GLD3-EN020,$7.99,$15.34,29,0
Springans Merrymaker,Super Rare,#LIOV-EN041,$0.89,$1.62,133,0
Droll & Lock Bird,Super Rare,#OP01-EN004,$12.00,$20.95,29,28
Blue-Eyes White Dragon (25th Anniversary Edition),Ultra Rare,#LC01-EN004,$0.11,$0.54,176,0
Goblin Zombie,Secret Rare,#PTDN-EN098,$55.55,$44.22,28,0
Chamber Dragonmaid (Starlight Rare),Starlight Rare,#ETCO-EN026,$379.99,$397.69,24,0
Super Polymerization,Premium Gold Rare,#MAGO-EN047,$2.69,$3.45,136,60
Toadally Awesome,Ultra Rare,#MAMA-EN068,$0.90,$1.66,188,4
The Winged Dragon of Ra,Gold Secret Rare,#PGLD-EN031,$9.74,$22.04,82,14
Gold Pride - Leon (PHHY-ENSP1),Ultra Rare,#PHHY-ENSP1,$10.40,$9.91,38,0
Crystal Seer (UTR),Ultimate Rare,#TAEV-EN031,$3.99,$10.16,30,0
Red-Eyes Insight,Common / Short Print,#LDS1-EN019,$2.90,$4.83,70,0
Sakuretsu Armor,Super Rare,#CP01-EN004,$179.99,$395.97,24,0
Tri-Brigade Fraktall,Prismatic Secret Rare,#MP21-EN171,$0.84,$1.72,162,0
Ancient Warriors Oath - Double Dragon Lords,Super Rare,#ROTD-EN048,$3.75,$4.99,78,0
Polymerization,Secret Rare,#LCKC-EN026,$2.90,$8.21,85,48
Return of the Dragon Lords,Common / Short Print,#SDRR-EN030,$3.75,$4.69,55,0
Crystal Beast Topaz Tiger (UTR),Ultimate Rare,#FOTB-EN004,$27.74,$97.95,54,0
Spright Jet,Super Rare,#POTE-EN004,$0.39,$0.59,142,1
Solemn Judgment,Premium Gold Rare,#MAGO-EN051,$2.30,$4.08,127,72
Crystal Clear Wing Synchro Dragon (Ghost Rare),Ghost Rare,#LED8-EN005,$14.98,$24.46,64,0
Magician of Black Chaos MAX,Prismatic Secret Rare,#TN19-EN002,$0.88,$1.74,130,0
Buster Blader,Ultra Rare,#YAP1-EN006,$10.57,$24.34,70,15
Change of Heart (Secret Pharaoh's Rare),Secret Pharaoh’s Rare,#MAMA-EN078,$98.00,$129.57,25,0
A Hero Lives (Secret Rare),Secret Rare,#SGX2-ENA16,$1.50,$2.90,63,0
Change of Heart (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#MAMA-EN078,$249.00,$193.69,3,0
Blue-Eyes White Dragon,Secret Rare,#MVP1-ENS55,$9.00,$15.49,56,42
Ally of Justice Catastor,Duel Terminal Rare Parallel Rare,#DTP1-EN031,$999.89,$387.20,2,0
Crystal Wing Synchro Dragon,Ultra Rare,#DUPO-EN068,$6.89,$6.14,45,0
Ghost Belle & Haunted Mansion,Ultra Rare,#DUDE-EN004,$1.19,$1.77,125,6
Drytron Meteonis Draconids (CR),Collector's Rare,#GEIM-EN029,$24.96,$32.14,29,0
Mist Wurm,Secret Rare,#HA01-EN023,$6.00,$11.68,53,0
Atlantean Marksman,Ultimate Rare,#AP03-EN001,$40.00,$54.99,13,0
Bottomless Trap Hole,Super Rare,#CP04-EN003,$125.99,$384.80,14,5
Secret Six Samurai - Kizaru,Secret Rare,#SPWA-EN005,$12.99,$17.48,59,0
The Eye of Timaeus (Ghost Rare),Ghost Rare,#GFP2-EN183,$16.75,$19.19,61,0
Dimensional Alchemist,Common / Short Print,#SBCB-EN136,$3.49,$4.08,24,0
Super Polymerization (Starlight Rare),Starlight Rare,#BLCR-EN100,$167.38,$191.61,28,0
Stardust Charge Warrior,Gold Secret Rare,#PGL3-EN005,$4.40,$6.18,78,0
Tenyi Spirit - Ashuna,Ultra Rare,#GFP2-EN088,$0.40,$0.77,165,0
Neo Blue-Eyes Ultimate Dragon,Secret Rare,#MVP1-ENS01,$2.89,$3.75,53,0
Celestial Double Star Shaman,Ultra Rare,#DUSA-EN018,$2.99,$5.31,45,0
"Gameciel, the Sea Turtle Kaiju",Super Rare,#OP02-EN004,$10.62,$11.21,24,5
Absorouter Dragon,Super Rare,#SDRR-EN005,$0.79,$1.83,86,0
Galaxy Soldier,Prismatic Secret Rare,#WSUP-EN010,$2.98,$9.76,96,0
"Selene, Queen of the Master Magicians",Ultra Rare,#DUOV-EN014,$6.50,$6.56,89,0
Cosmo Queen,Ultra Rare,#MP1-002,$1.97,$42.25,61,0
The Dark Magicians,Ultra Rare,#LED6-EN001,$9.00,$21.12,93,2
Rokket Tracer,Super Rare,#SDRR-EN002,$0.60,$1.59,63,2
The Weather Painter Cloud,Secret Rare,#SPWA-EN031,$6.47,$7.30,52,0
Wattchimera,Ultra Rare,#DREV-EN044,$5.00,$5.06,13,0
Inzektor Dragonfly (CR),Collector's Rare,#GRCR-EN040,$14.00,$17.23,42,0
Knightmare Unicorn,Ultra Rare,#MP19-EN028,$4.00,$4.98,55,20
Upstart Goblin,Super Rare,#SESL-EN043,$1.42,$2.15,102,0
Shooting Majestic Star Dragon,Secret Rare,#DAMA-EN039,$4.45,$5.48,63,0
Blackwing - Sirocco the Dawn,Super Rare,#TU04-EN003,$39.99,$53.97,12,0
Ghost Ogre & Snow Rabbit,Ultra Rare,#DUDE-EN001,$0.88,$2.11,171,24
Pot of Duality,Rare,#KICO-EN054,$0.25,$0.69,179,7
Stellarknight Constellar Diamond,Ultra Rare,#BLMR-EN082,$0.13,$0.20,146,1
Bottomless Trap Hole,Secret Rare,#LCJW-EN078,$6.10,$9.67,58,5
Seiyaryu (Dark Duel Stories),Secret Rare,#DDS-004,$0.30,$10.47,163,0
Gearfried the Red-Eyes Iron Knight,Secret Rare,#LDS1-EN011,$5.10,$7.11,58,0
The Winged Dragon of Ra,Prismatic Secret Rare,#DOD-001,$7.15,$53.79,54,14
Santa Claws,Ultra Rare,#SS05-ENV01,$5.99,$14.48,59,0
Dark End Dragon,Secret Rare,#LCGX-EN188,$4.99,$11.07,36,3
Blue-Eyes Alternative White Dragon,Gold Rare,#MVP1-ENG46,$9.98,$11.06,46,5
Legacy of Yata-Garasu (Secret Rare),Secret Rare,#PP01-EN009,$3.98,$22.11,18,0
Magician's Valkyria,Ultra Rare,#SDSC-ENSE1,$17.95,$124.99,25,0
Polymerization,Super Rare,#FUEN-EN049,$1.99,$4.16,100,48
"Master Peace, the True Dracoslaying King",Secret Rare,#MACR-EN024,$15.12,$16.27,111,0
Thunder Dragon Colossus,Ultimate Rare,#OP10-EN001,$63.99,$74.81,53,0
Vessel for the Dragon Cycle,Super Rare,#OP17-EN009,$2.81,$4.40,44,0
Floowandereeze & Empen,Secret Rare,#BODE-EN017,$2.90,$3.33,88,1
Sky Striker Mecha Modules - Multirole,Ultra Rare,#MAMA-EN012,$0.43,$1.09,108,0
Red-Eyes Flare Metal Dragon,Secret Rare,#CORE-EN054,$19.48,$33.87,58,0
Neos Fusion,Prismatic Secret Rare,#MP20-EN027,$1.70,$2.93,64,0
Power Tool Dragon (UTR),Ultimate Rare,#RGBT-EN042,$25.99,$53.08,52,0
Dark End Dragon,Super Rare,#RYMP-EN066,$6.99,$7.43,41,3
Red Supernova Dragon,Ultra Rare,#GFTP-EN045,$2.99,$3.71,95,1
Mathmech Subtraction,Super Rare,#MYFI-EN004,$1.50,$2.07,84,0
The Wicked Avatar,Ultra Rare,#JUMP-EN017,$0.69,$5.78,86,0
Primula the Rikka Fairy,Secret Rare,#SESL-EN015,$1.43,$2.28,67,0
Five-Headed Link Dragon,Ultra Rare,#DUOV-EN007,$1.25,$2.11,62,1
Pot of Extravagance,Secret Rare,#SAST-EN067,$7.19,$11.18,68,6
Palladium Oracle Mahad (Blue),Secret Rare,#SBPR-EN004,$360.00,$368.80,14,0
Call of the Grave,Super Rare,#TP2-005,$52.85,$92.17,21,0
Stardust Charge Warrior,Premium Gold Rare,#MAGO-EN029,$1.25,$2.09,94,0
Link Spider,Ultimate Rare,#OP07-EN002,$32.99,$36.75,39,3
Tribe-Infecting Virus,Super Rare,#MFC-076,$4.00,$14.13,113,0
Archfiend Eccentrick,Secret Rare,#CORE-EN042,$7.99,$24.42,99,0
Red-Eyes Fang with Chain,Secret Rare,#LDS1-EN021,$7.50,$8.50,50,0
Number 77: The Seven Sins,Gold Secret Rare,#PGL3-EN011,$7.25,$8.10,74,1
Tuning,Rare,#MAGO-EN145,$0.15,$0.35,104,3
Kitchen Dragonmaid,Secret Rare,#MYFI-EN018,$12.98,$18.19,31,0
Giant Trunade,Super Rare,#MRL-048,$0.79,$7.74,161,0
Destiny End Dragoon,Ultra Rare,#STP5-EN004,$42.00,$51.91,10,0
Destiny HERO - Plasma,Secret Rare,#CT04-EN003,$1.75,$15.78,100,0
Mask of Restrict,Ultra Rare,#LON-018,$1.05,$12.96,90,0
Chaos Dragon Levianeer,Secret Rare,#SOFU-EN025,$7.20,$7.72,63,8
Pile Armed Dragon,Secret Rare,#HAC1-EN174,$1.68,$2.31,104,0
Exosisters Magnifica,Ultra Rare,#DIFO-EN046,$0.95,$1.71,148,0
Ninja Grandmaster Hanzo (UTR),Ultimate Rare,#ORCS-EN029,$14.92,$32.94,98,0
P.U.N.K. JAM Extreme Session,Super Rare,#POTE-EN065,$0.25,$0.49,88,0
Snowman Eater,Super Rare,#AC18-EN008,$3.75,$4.30,22,0
Thousand Dragon,Secret Rare,#MRD-143,$0.99,$7.85,156,4
Black Luster Soldier - Envoy of the Beginning,Secret Rare,#LCYW-EN025,$6.95,$18.05,104,10
"Alpha, the Master of Beasts",Ultra Rare,#MP21-EN179,$0.70,$1.38,162,0
Shaman of the Tenyi,Prismatic Secret Rare,#MP20-EN122,$0.98,$2.77,46,0
"Fusilier Dragon, the Dual-Mode Beast (UTR)",Ultimate Rare,#RDS-EN031,$4.49,$24.00,104,0
Sky Striker Ace - Shizuku,Prismatic Secret Rare,#MP19-EN258,$5.00,$4.86,42,0
Evolzar Laggia,Premium Gold Rare,#MGED-EN028,$0.42,$0.69,165,4
Dark Paladin (1st Edition Artwork),Ultra Rare,#MFC-105,$86.99,$359.00,44,0
Copycat,Secret Rare,#RP01-EN092,$799.99,$358.99,3,0
Eradicator Epidemic Virus,Super Rare,#TDGS-ENSE1,$1.70,$3.29,90,24
Black Luster Soldier - Envoy of the Beginning,Ultra Rare,#IOC-025,$5.95,$25.56,138,10
Nimble Beaver,Super Rare,#OP20-EN006,$0.75,$1.33,63,0
Destiny HERO - Celestial,Secret Rare,#DESO-EN006,$6.00,$11.92,72,0
"Zep, Ruby of the Ghoti",Ultra Rare,#DABL-EN085,$1.25,$1.77,58,0
Mind Crush,Super Rare,#CP08-EN003  ,$69.99,$89.36,22,2
Herald of the Arc Light,Super Rare,#NECH-EN052,$3.13,$4.64,19,8
Predaplant Spider Orchid,Ultra Rare,#DUPO-EN035,$0.47,$2.88,111,0
Brave-Eyes Pendulum Dragon,Secret Rare,#RATE-EN039,$10.29,$10.49,46,0
Pot of Duality,Ultra Rare,#DUSA-EN084,$6.43,$8.69,54,7
"Bi'an, Earth of the Yang Zing",Super Rare,#MP15-EN084,$3.79,$4.24,28,0
XX-Saber Hyunlei (UTR),Ultimate Rare,#ABPF-EN044,$19.60,$27.37,27,0
Super-Nimble Mega Hamster,Super Rare,#ABPF-EN083,$7.68,$13.63,40,0
Forbidden Chalice,Ultra Rare,#RGBT-EN061,$3.90,$14.17,110,0
Preparation of Rites,Ultra Rare,#BLRR-EN088,$3.39,$5.53,45,6
Dragonic Diagram,Secret Rare,#MP18-EN015,$5.00,$7.22,45,0
Sage with Eyes of Blue,Secret Rare,#BLLR-EN055,$6.29,$7.36,50,0
Abyss Dweller,Ultra Rare,#DUDE-EN016,$0.62,$1.93,123,16
Nobleman of Crossout,Super Rare,#PSV-034,$0.97,$6.54,161,0
Dimension Shifter,Ultra Rare,#MP22-EN263,$0.34,$0.73,257,3
Scrap Chimera,Super Rare,#DREV-EN019,$5.71,$9.52,32,2
Blue-Eyes Chaos Dragon,Secret Rare,#LDS2-EN017,$6.89,$11.00,52,0
Horus The Black Flame Dragon LV8,Secret Rare,#EEN-ENSE1,$1.99,$7.65,71,0
Red-Eyes Black Dragon (Ultra Pharaoh's Rare),Ultra Pharaoh’s Rare,#MAMA-EN105,$4.99,$175.33,3,0
Elemental Hero Captain Gold (UTR),Ultimate Rare,#FOTB-EN014,$15.00,$43.82,44,0
Danger! Bigfoot!,Secret Rare,#CYHO-EN082,$7.95,$11.30,55,0
Tour Guide From the Underworld,Super Rare,#CT09-EN013,$2.05,$3.98,48,0
Palladium Oracle Mahad,Secret Rare,#MVP1-ENS53,$6.99,$8.98,34,0
Blue-Eyes White Dragon (Power of Chaos: Kaiba the Revenge),Secret Rare,#PCK-001,$8.92,$49.95,79,0
Neos Wiseman,Ultra Rare,#LCGX-EN040,$10.00,$21.85,63,2
Blue-Eyes White Dragon (Gold Secret Rare),Gold Secret Rare,#MVP1-ENGV4,$2.91,$5.37,67,0
Macro Cosmos (Secret Rare),Secret Rare,#SGX3-ENF19,$6.49,$8.95,66,0
Card Trooper (CR),Collector's Rare,#AMDE-EN046,$24.00,$24.92,33,0
Avenging Knight Parshath,Common / Short Print,#LC5D-EN230,$9.95,$12.91,35,0
Number 38: Hope Harbinger Dragon Titanic Galaxy,Super Rare,#CYHO-ENSE2,$1.33,$2.66,95,0
Karakuri Barrel mdl 96 Shinkuro,Rare,#STBL-EN088,$0.70,$1.88,28,0
Red-Eyes B. Dragon,Parallel Rare,#2019-JPP01,$499.94,$347.24,2,0
Snowman Eater,Super Rare,#TU05-EN003,$35.00,$26.67,8,0
Tuning,Ultra Rare,#STBL-EN045,$5.00,$14.43,33,3
Transcendosaurus Meteorus,Super Rare,#WISU-EN002,$0.12,$0.33,157,0
Artifact Lancea,Secret Rare,#BLHR-EN079,$2.45,$4.17,101,3
Sales Ban,Secret Rare,#BACH-EN063,$1.80,$2.79,121,1
Mecha Phantom Beast Dracossack,Secret Rare,#LTGY-EN053,$8.98,$20.34,94,0
Thousand-Eyes Restrict,Ultra Rare,#PSV-084,$1.99,$11.92,187,0
Exodia the Forbidden One,Ultra Rare,#LOB-EN124,$23.90,$28.79,37,0
Traptrix Rafflesia,Secret Rare,#MP16-EN239,$3.49,$6.51,116,6
Caius the Shadow Monarch,Ultimate Rare,#TU03-EN000,$248.84,$344.80,12,0
